,0
0,-2.172267370574136
0,-2.019946961953158
0,-2.348584682134968
0,-1.9711992432843828
0,-1.864992434259147
0,-1.4803205987931836
0,-2.8048385794370754
0,-2.0887285600696406
0,-1.9881731190399248
0,-2.665115406134388
0,-2.062473801509508
0,-2.30443995540758
0,-2.367830618673189
0,-1.7806307652298095
0,-2.483531055406455
0,-2.8136101865167076
0,-2.0283296143642953
0,-2.405349691774748
0,-1.916165137368854
0,-2.1602428495872417
0,-2.4011497211073074
0,-1.5500077730041237
0,-2.1276041623755217
0,-2.5973689457717444
0,-2.161321373067257
0,-2.2663284835324697
0,-1.8761844151015064
0,-3.523866088363547
0,-2.552581432867711
0,-2.7735136310654043
0,-1.110317597335749
0,-1.3170869943332757
0,-1.9480956323692642
0,-1.981341124651241
0,-2.0431145540874827
0,-1.5725728435873825
0,-2.5414406478472302
0,-2.1670931544943133
0,-1.8715702235993623
0,-2.427475474307581
0,-2.0115609467628963
0,-1.4840714007544349
0,-2.390881343544563
0,-2.0753515294835148
0,-1.9709384167742172
0,-2.3875146338093707
0,-1.7725818735053642
0,-1.5438816552595735
0,-2.081965053417711
0,-2.668680645084306
0,-3.3926165704790927
0,-2.104127312021314
0,-2.821935083285141
0,-2.056959656438225
0,-1.9998136130381217
0,-1.5166987544897181
0,-1.873318621935288
0,-2.0595788510264446
0,-1.9170767220237246
0,-1.5036791824188602
0,-2.434515639806439
0,-2.0774398198256026
0,-1.7898183631972389
0,-2.2877924742778526
0,-1.0939287485387736
0,-2.284290281226079
0,-2.1400737751420813
0,-2.3885467219979057
0,-2.268650790640751
0,-1.4012143038295954
0,-2.67422156564917
0,-2.381492847603349
0,-2.3914186215236204
0,-2.4654381715558165
0,-2.474896262964631
0,-1.6464199817384448
0,-2.3051707519949916
0,-1.984818326996323
0,-1.7645888406028774
0,-2.573401843435055
0,-2.727908774742324
0,-1.11041322322996
0,-1.3263009480916752
0,-1.836769620263015
0,-3.0874679396419915
0,-1.8772713416279485
0,-2.24773404372417
0,-2.7966726718929493
0,-2.1179988312831033
0,-2.0946576711819143
0,-2.9015323243071927
0,-2.48518530447873
0,-1.0807397369492653
0,-1.774211049325343
0,-2.5650994125249618
0,-2.0680873879319264
0,-2.5058735436808823
0,-2.5091069039220715
0,-2.4414754533108383
0,-1.4800050330081682
0,-1.512707762530522
0,-1.6139608026321377
0,-2.255425566203548
0,-2.5038888686604692
0,-2.068898905457364
0,-1.9162309167956908
0,-2.036415595965626
0,-2.492543647429386
0,-2.178566280849087
0,-1.952651403211403
0,-2.2908775640849215
0,-2.646254870692429
0,-1.5470052810397046
0,-2.1408175701937733
0,-2.0883086551577614
0,-2.533728667240303
0,-2.346947424134955
0,-1.5067151482844519
0,-2.5929439040417686
0,-1.8230269326483006
0,-2.8628094421506725
0,-2.000643560181501
0,-2.1568587087242403
0,-3.324199597491648
0,-1.337096162461664
0,-1.9340044986224478
0,-1.89698506505021
0,-2.382678276119968
0,-2.3272348471695214
